iter	F1	Logloss
74	0.6400222552	0.3791119205
75	0.6396287703	0.3780862042
76	0.638816524	0.3771169946
77	0.6387054775	0.3759014714
78	0.638452237	0.3749255213
79	0.6385116279	0.3738213195
80	0.639702464	0.3726769717
81	0.640260344	0.371515095
82	0.6395532806	0.3705964708
83	0.6401116799	0.3694706227
84	0.6407369498	0.3684943029
85	0.6408110119	0.3675411493
86	0.6408778129	0.3665791488
87	0.640625	0.3657530355
88	0.6406177319	0.3648235783
89	0.6402086827	0.3641322279
90	0.6411403018	0.3631716658
91	0.6415199776	0.3623270856
92	0.6413266257	0.3614910618
93	0.6415727196	0.3609165537
94	0.6419063576	0.3600112671
95	0.6420925254	0.3591657499
96	0.6420327625	0.3583608641
97	0.6422786931	0.3573557554
98	0.6422582448	0.3566008344
99	0.6433239963	0.3558683813
100	0.6429105874	0.355400419
101	0.6426966292	0.3547266899
102	0.6425093633	0.3541344673
103	0.6419127989	0.3535568947
104	0.6416971745	0.3527972756
105	0.6420054455	0.352020061
106	0.6422070001	0.3512828208
107	0.6416760616	0.3507691258
108	0.6417363525	0.3500471794
109	0.641527177	0.349544557
110	0.6415129846	0.3491137607
111	0.6419845894	0.348469932
112	0.6419915453	0.3478844117
113	0.6418359669	0.3472492815
114	0.6415875106	0.3466412719
115	0.6412501177	0.3461513983
116	0.6413104877	0.3456796133
117	0.6413033242	0.3450751573
118	0.6409870032	0.3444905213
119	0.6411077619	0.3438963979
120	0.6403922308	0.3434844763
121	0.6405808033	0.3429313881
122	0.6405056127	0.3425764958
123	0.6403020293	0.3421708585
124	0.6404907975	0.3415882178
125	0.6405660377	0.3410688254
126	0.641185353	0.3406331785
127	0.6410498489	0.3400910698
128	0.6411636913	0.3397664321
129	0.6409820585	0.3394656395
130	0.6408923339	0.3391065027
131	0.6406959153	0.3386722353
132	0.6410135199	0.3382095523
133	0.6413238771	0.3377647024
134	0.6417092078	0.3374426258
135	0.6423440454	0.3371880742
136	0.6426006426	0.3369119056
137	0.6438757201	0.3364759956
138	0.6439558366	0.3359941442
139	0.6439365319	0.3356381604
140	0.6452830189	0.3353967846
141	0.6456365697	0.3349401425
142	0.6449295908	0.3345253985
143	0.6448809974	0.3341492741
144	0.6447045497	0.3337590693
145	0.6451552033	0.3334364852
146	0.6451612903	0.3330614122
147	0.645082122	0.3326856648
148	0.6452769652	0.3323006665
149	0.6448994999	0.3320444842
150	0.6450882325	0.3316759869
151	0.6448386488	0.3313484364
152	0.6454047934	0.3310683477
153	0.6455875413	0.3307081825
154	0.6458431632	0.330412356
155	0.6457094308	0.330096832
156	0.6454656978	0.3298306994
157	0.6457763096	0.329587776
158	0.6456663209	0.3292220875
159	0.6460318958	0.3290041007
160	0.6461422231	0.3287810249
161	0.6463426144	0.3285608643
162	0.6458313663	0.3283175161
163	0.6461538462	0.3280047593
164	0.6462758425	0.3277729031
165	0.6467088488	0.327418587
166	0.6468921217	0.3271799845
167	0.6471477144	0.3268574776
168	0.6471532433	0.3265441306
169	0.6472198622	0.3263776951
170	0.6474752242	0.3260961759
171	0.6481638818	0.3258149824
172	0.647786274	0.3256527441
173	0.6479086016	0.3253948698
174	0.6481237036	0.325177686
175	0.6488218662	0.3249200536
176	0.6491376873	0.3247938065
177	0.6492551386	0.3246349054
178	0.6490053738	0.3244580317
179	0.6488830238	0.3242813551
180	0.6486231611	0.3240397267
181	0.6490053738	0.3238543913
182	0.6493873704	0.3236652859
183	0.6486741531	0.3234346613
184	0.6491277699	0.3231997025
185	0.6496419148	0.3229992412
186	0.6492551386	0.322810357
187	0.6495758718	0.322653981
188	0.6497031383	0.3224945633
189	0.6500801056	0.3222626319
190	0.6502639517	0.3220761242
191	0.6503344954	0.3218478782
192	0.6507113917	0.3216144624
193	0.6505229436	0.3213958457
194	0.6504616544	0.3212338389
195	0.6500847937	0.321088768
196	0.6500754148	0.3208900717
197	0.6501413761	0.3206786141
198	0.6500282539	0.3204426812
199	0.6501600452	0.3202268103
200	0.6496563412	0.3200366776
201	0.6501553819	0.3198021659
202	0.6500282539	0.3196654144
203	0.6497079329	0.3195316194
204	0.6502073125	0.3193579163
205	0.6500188466	0.3191298458
206	0.650273224	0.3189422402
207	0.6504616544	0.3187118892
208	0.6503391108	0.3185405074
209	0.6503344954	0.3184487858
210	0.6502778563	0.3182985475
211	0.6500235516	0.3180692363
212	0.6501460473	0.3179199236
213	0.6504662334	0.3177311298
214	0.6504049727	0.3175686754
215	0.6505366221	0.3174446397
216	0.6507906627	0.3173005533
217	0.65085639	0.3171444372
218	0.6507294118	0.3169858478
219	0.6507249106	0.3168574829
220	0.6511014875	0.3167176631
221	0.6513554217	0.3164973556
222	0.6518546413	0.3163656594
223	0.6517234884	0.3162434248
224	0.6519160154	0.3159816452
225	0.6525503482	0.3158311842
226	0.6524275499	0.3156720586
227	0.6523007434	0.3155428491
228	0.6524275499	0.3153405555
229	0.6525543325	0.3152304416
230	0.6528078262	0.3150619117
231	0.6526196971	0.3149427678
232	0.6528731308	0.3148035882
233	0.6528117359	0.3147133167
234	0.6526810913	0.3146155735
235	0.6532455315	0.3144723875
236	0.6533722133	0.3142682175
237	0.6531878879	0.3141270719
238	0.6529959552	0.3139919227
239	0.6534374118	0.3138964114
240	0.6533722133	0.3138034853
241	0.6530573848	0.3136906947
242	0.6529920963	0.3135263891
243	0.6534951548	0.3134023472
244	0.6539873835	0.3132674504
245	0.6539873835	0.313184654
246	0.6541827421	0.3129498592
247	0.6538642568	0.3128132412
248	0.654233776	0.3126565672
249	0.6547921968	0.3125469747
250	0.6548539114	0.3124448222
251	0.6550424128	0.3123532061
252	0.6550456987	0.3121942091
253	0.6550456987	0.3120976861
254	0.6548572505	0.3119659787
255	0.6549839834	0.3118872185
256	0.6549189597	0.3117900493
257	0.6549189597	0.3116858412
258	0.6548572505	0.3115604352
259	0.6549222798	0.3114174154
260	0.6549222798	0.311334269
261	0.654925598	0.3112682277
262	0.6551756617	0.3111695757
263	0.6556759303	0.311042722
264	0.655734615	0.3109447869
265	0.6558643429	0.3107610818
266	0.6558551763	0.3106589794
267	0.6559200603	0.3105362682
268	0.6559879393	0.3104283176
269	0.6563677468	0.3103342088
270	0.6563059245	0.3101872294
271	0.6563059245	0.3101108241
272	0.6563059245	0.3100005889
273	0.6562411682	0.3099104364
274	0.6563677468	0.3098164639
275	0.6563059245	0.3097103632
276	0.6563677468	0.3096025426
277	0.6561793519	0.3095025143
278	0.6561793519	0.3093751546
279	0.6563059245	0.3092889979
280	0.6564324732	0.3091969688
281	0.6564971751	0.3091003008
282	0.6566854991	0.3090300368
283	0.656558998	0.3089169479
284	0.6566208325	0.3088268461
285	0.6568765885	0.3087330093
286	0.656873823	0.3086085074
287	0.6567501412	0.3084983861
288	0.6567473397	0.3084189539
289	0.6569329314	0.3082456757
290	0.6569948187	0.3081397442
291	0.6569329314	0.3080499776
292	0.6569948187	0.3079364613
293	0.6573768948	0.307868874
294	0.6573768948	0.3077864147
295	0.6576296715	0.3077173256
296	0.6578204404	0.3076026539
297	0.6578823529	0.30749612
298	0.658008658	0.3074368677
299	0.6579442771	0.3073392327
300	0.657879872	0.3072429536
301	0.6578823529	0.3071849156
302	0.6578204404	0.3070810243
303	0.6582016554	0.3069878752
304	0.6585801598	0.3068987174
305	0.6585159409	0.3068012883
306	0.6587040346	0.3066866023
307	0.6587040346	0.3066182242
308	0.6588301674	0.3065352342
309	0.6589541008	0.3064198522
310	0.6589541008	0.3063432024
311	0.659332393	0.3062732869
312	0.6593344614	0.3062059824
313	0.6592704024	0.3061228263
314	0.6592704024	0.3060103238
315	0.6591464561	0.3059124569
316	0.6592084234	0.305832825
317	0.6592084234	0.3057761653
318	0.659462507	0.3057106035
319	0.6593365285	0.3056623174
320	0.6597143931	0.3055023702
321	0.6598403006	0.3054153959
322	0.659716352	0.3053542889
323	0.6598403006	0.305290507
324	0.6597143931	0.3052052423
325	0.6597763788	0.3051423403
326	0.6599022924	0.3050704468
327	0.6599642958	0.305019418
328	0.6597143931	0.3049605234
329	0.6599041984	0.3048785186
330	0.6599041984	0.3048272614
331	0.6611027757	0.3047617249
332	0.6614173228	0.3047060314
333	0.6619217082	0.3046207123
334	0.6617936463	0.3044995514
335	0.6628624883	0.3044283826
336	0.6631126076	0.3043535545
337	0.6632376321	0.3043075838
338	0.6633626333	0.3042360156
339	0.663487611	0.304090952
340	0.6631756125	0.3040190171
341	0.6641150112	0.303964793
342	0.6646142364	0.3039056576
343	0.6643656716	0.303835338
344	0.664304364	0.3037513401
345	0.664305685	0.3036824496
346	0.6647414998	0.303619933
347	0.6646790273	0.3034800939
348	0.6649278062	0.3033947784
349	0.6651141127	0.3033251231
350	0.6651141127	0.3032873184
351	0.6651764925	0.3031867735
352	0.6652384501	0.3030412513
353	0.6653627643	0.3029878187
354	0.6653627643	0.3028335777
355	0.6653627643	0.3027828241
356	0.6654870553	0.3026449921
357	0.6652384501	0.3025926926
358	0.6654247392	0.3025394464
359	0.6656733097	0.3024576612
360	0.6657975603	0.3023921453
361	0.6658595642	0.3023234676
362	0.6659837974	0.3022197279
363	0.6659837974	0.3021681825
364	0.665735828	0.3021019243
365	0.665735828	0.3020248695
366	0.6663564449	0.3019817842
367	0.6664185354	0.3018987966
368	0.6664185354	0.3018457893
369	0.6664186047	0.30178237
370	0.6667286764	0.3017424358
371	0.6667286764	0.3016729793
372	0.6668526786	0.3016052299
373	0.6671007348	0.3015293588
374	0.6673486469	0.3014400507
375	0.6677827381	0.3013017646
376	0.6677824268	0.3012356156
377	0.667844523	0.3011735331
378	0.6680926253	0.3011018689
379	0.6682160454	0.3010381266
380	0.6682781703	0.3009930018
381	0.6686500558	0.3009200339
382	0.6684024549	0.3008829991
383	0.6685257483	0.3008371169
384	0.6685873606	0.300791648
385	0.6687110863	0.3006442778
386	0.6688969427	0.3005817538
387	0.6690206281	0.3005377773
388	0.6691442906	0.3005000112
389	0.6690199721	0.300461578
390	0.6690821256	0.3004080882
391	0.6690821256	0.3003615158
392	0.6692057594	0.30031771
393	0.6693286285	0.3002727843
394	0.6693293702	0.3002135969
395	0.6692672053	0.3001273174
396	0.6694514063	0.3000513299
397	0.6693278871	0.3000112753
398	0.6699452538	0.2999637572
399	0.6698830952	0.2999061524
400	0.6698209481	0.2998551718
401	0.6701910592	0.2998050945
402	0.6700686584	0.2997620551
403	0.6701920401	0.2997287694
404	0.6700046361	0.2996745745
405	0.6698200705	0.2996284693
406	0.6704355885	0.2995808946
407	0.6707452725	0.2995351656
408	0.6704977292	0.2994899669
409	0.6706198462	0.2994316068
410	0.6708040015	0.2993433374
411	0.6703703704	0.2993010098
412	0.6703713995	0.2992594394
413	0.670494536	0.2991491196
414	0.6709271094	0.2991052209
415	0.671112346	0.2990330277
416	0.6711745091	0.2989598529
417	0.6711098769	0.2988960763
418	0.6714179933	0.2987910272
419	0.6717260528	0.2987219426
420	0.6717274579	0.2986621154
421	0.6722191375	0.2986274695
422	0.6722191375	0.2985835245
423	0.6724042199	0.2984701911
424	0.6722797927	0.2984170838
425	0.6725876584	0.2983664925
426	0.6725860155	0.2983182718
427	0.6722766784	0.2982793851
428	0.6723978554	0.2982169815
429	0.6728315147	0.2980743196
430	0.6728920118	0.2980382342
431	0.6730164601	0.2979064813
432	0.6730164601	0.2977842176
433	0.6730164601	0.2977149301
434	0.6731391586	0.2976494058
435	0.6730769231	0.2976046928
436	0.6730146991	0.2975330046
